
## Torsion parameter: matched molecules ##
------------------------------------------------------------------------------------------
idx     ID      SMIRKS Pattern                                                         Number of molecules matched
111     t107    [*:1]-[#16X2,#16X3+1:2]-[#6:3]-[#1:4]                                  9
112     t108    [#6X3:1]-@[#16X2,#16X1-1,#16X3+1:2]-@[#6X3,#7X2;r5:3]=@[#6,#7;r5:4]    8
113     t109    [*:1]~[#16X4,#16X3!+1:2]-[#6X4:3]-[*:4]                                9
114     t110    [#6X4:1]-[#16X4,#16X3+0:2]-[#6X4:3]-[#1:4]                             0
115     t111    [#6X4:1]-[#16X4,#16X3+0:2]-[#6X4:3]~[#6X4:4]                           0
116     t112    [*:1]~[#16X4,#16X3+0:2]-[#6X3:3]~[*:4]                                 48
117     t113    [#6:1]-[#16X4,#16X3+0:2]-[#6X3:3]~[*:4]                                2
118     t114    [*:1]~[#15:2]-[#6:3]-[*:4]                                             4
119     t115    [*:1]~[#15:2]-[#6X3:3]~[*:4]                                           24
120     t116    [*:1]-[#8:2]-[#8:3]-[*:4]                                              0
121     t117    [*:1]-[#8:2]-[#8H1:3]-[#1:4]                                           1
122     t118    [*:1]~[#8X2:2]-[#7:3]~[*:4]                                            2
123     t119    [*:1]-[#8X2r5:2]-;@[#7X3r5:3]~[*:4]                                    8
124     t120    [*:1]-[#8X2r5:2]-;@[#7X2r5:3]~[*:4]                                    1
125     t121    [*:1]-[#7X4,#7X3:2]-[#7X4,#7X3:3]-[*:4]                                4
126     t122    [#1:1]-[#7X4,#7X3:2]-[#7X4,#7X3:3]-[#1:4]                              2
127     t123    [#6X4:1]-[#7X4,#7X3:2]-[#7X4,#7X3:3]-[#1:4]                            6
128     t124    [#6X4:1]-[#7X4,#7X3:2]-[#7X4,#7X3:3]-[#6X4:4]                          4
129     t125    [*:1]-[#7X4,#7X3:2]-[#7X3$(*~[#6X3,#6X2]):3]~[*:4]                     0
130     t126    [*:1]-[#7X3$(*-[#6X3,#6X2]):2]-[#7X3$(*-[#6X3,#6X2]):3]-[*:4]          1
131     t127    [*:1]-[#7X3$(*-[#6X3,#6X2])r5:2]-@[#7X3$(*-[#6X3,#6X2])r5:3]~[*:4]     2
132     t128a   [*:1]@[#7X2:2]@[#7X2:3]@[#7X2,#6X3:4]                                  1
133     t128    [*:1]~[#7X2:2]-[#7X3:3]~[*:4]                                          0
134     t129    [*:1]=[#7X2:2]-[#7X2:3]=[*:4]                                          0
135     t130    [*:1]~[#7X2:2]=,:[#7X2:3]~[*:4]                                        7
136     t131    [*:1]~[#7X3+1:2]=,:[#7X2:3]~[*:4]                                      4
137     t133    [*:1]-[#16X2,#16X3+1:2]-[!#6:3]~[*:4]                                  10
138     t134    [*:1]~[#16X4,#16X3+0:2]-[#7:3]~[*:4]                                   21
139     t135    [#6X4:1]-[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#1:4]                        2
140     t136    [#6X3:1]-[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#1:4]                        4
141     t137    [#6X4:1]-[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#6X4:4]                      2
142     t138    [#6X3:1]-[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#6X4:4]                      0
143     t139    [#8X1:1]~[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#1:4]                        10
144     t140    [#8X1:1]~[#16X4,#16X3+0:2]-[#7X4,#7X3:3]-[#6X4:4]                      2
145     t141    [#6X3:1]-[#16X4,#16X3+0:2]-[#7X3:3]-[#6X3:4]                           0
146     t142    [#6X4:1]-[#16X4,#16X3+0:2]-[#7X3:3]-[#6X3:4]                           1
147     t143    [#8X1:1]~[#16X4,#16X3+0:2]-[#7X3:3]-[#6X3:4]                           2
148     t144    [#8X1:1]~[#16X4,#16X3+0:2]-[#7X3:3]-[#7X2:4]                           2
149     t145    [*:1]~[#16X4,#16X3+0:2]=,:[#7X2:3]-,:[*:4]                             0
150     t146    [#6X4:1]-[#16X4,#16X3+0:2]-[#7X2:3]~[#6X3:4]                           2
151     t147    [#8X1:1]~[#16X4,#16X3+0:2]-[#7X2:3]~[#6X3:4]                           4
152     t148    [*:1]~[#16X4,#16X3+0:2]-[#8X2:3]-[*:4]                                 0
153     t149    [*:1]-[#16X2,#16X3+1:2]-[#16X2,#16X3+1:3]-[*:4]                        0
154     t150    [*:1]-[#8X2:2]-[#15:3]~[*:4]                                           14
155     t151    [#8X2:1]-[#15:2]-[#8X2:3]-[#6X4:4]                                     4
156     t152    [*:1]~[#7X3:2]-[#15:3]~[*:4]                                           18
157     t154    [*:1]-[#7:2]-[#15:3]=[*:4]                                             6
158     t155    [#6X3:1]-[#7:2]-[#15:3]=[*:4]                                          3
159     t155b   [*:1]~[#7:2]=[#15:3]~[*:4]                                             3
160     t156    [*:1]-[*:2]#[*:3]-[*:4]                                                1
161     t157    [*:1]~[*:2]-[*:3]#[*:4]                                                12
162     t158    [*:1]~[*:2]=[#6,#7,#16,#15;X2:3]=[*:4]                                 4
------------------------------------------------------------------------------------------
Loading TorsionDrive Scans from [ OpenFF Gen 2 Torsion Set 2 Coverage ] spec [default]
Found 93 data entries
Found 93 torsiondrive records
    1 : C[O:4][CH:3](O)[O:2][CH3:1]                        status COMPLETE
    2 : [H:4][O:3][CH:2]([O:1]C)OC                         status COMPLETE
    3 : [H:4][O:3][CH2:2][CH3:1]                           status COMPLETE
    4 : [H:3][CH2:1][CH:2]([H:4])O                         status COMPLETE
    5 : C#[C:1][c:2]1ccc[cH:4][cH:3]1                      status COMPLETE
    6 : [H:4][NH:2][CH:3]=[NH2+:1]                         status COMPLETE
    7 : [H:4][N:3]([CH:2]1[CH2:1]C1)[S@](=N)(=O)C          status COMPLETE
    8 : [H:4][N:3](C1CC1)[S@:2](=N)(=O)[CH3:1]             status COMPLETE
    9 : C[C@@]1(CC(=O)N1)[c:3]2n[cH:1][cH:2][s:4]2         status COMPLETE
   10 : C[C@@:1]1(C[C:3](=[O:4])[NH:2]1)c2nccs2            status COMPLETE
   11 : C[C@@:2]1([CH2:1]C(=O)N1)[c:3]2ncc[s:4]2           status COMPLETE
   12 : [H:4][CH2:3][C@@:2]1([CH2:1]C(=O)N1)c2nccs2        status COMPLETE
   13 : [CH3:1][O:3][C:2](=[O:4])C[N+]#[C-]                status COMPLETE
   14 : [CH3:1][NH:4][CH2:2][CH:3](Cl)Cl                   status COMPLETE
   15 : [H:4][CH:3]([CH:2](Cl)[Cl:1])NC                    status COMPLETE
   16 : [H:4][C:3]1(CC1)[c:2]2[cH:1]c(sc2C)Br              status COMPLETE
   17 : [H:4][O:3][O:2][C:1](=O)C                          status COMPLETE
   18 : [CH3:2][C:1](=O)[O:3][OH:4]                        status COMPLETE
   19 : [CH3:4][O:3][c:2]1[cH:1]c(c(cc1I)O)F               status COMPLETE
   20 : CO/N=[N+:3](/[CH:2](Br)[Br:4])\[O-:1]              status COMPLETE
   21 : [H:4][O:3][C:2]1([C@H]2[C@H]1CCC2)[CH3:1]          status COMPLETE
   22 : [cH:1]1cc(cc[c:2]1[N+:3](=O)[O-:4])S(=O)(=O)NCl    status COMPLETE
   23 : [H:4][N:3]([S:2](=O)(=O)[c:1]1ccc(cc1)[N+](=O)[O-])Cl status COMPLETE
   24 : C[C@@H]1C[N@:3]([S:4](=O)(=O)C1)[NH:2][CH3:1]      status COMPLETE
   25 : [CH2:2]=[C:1]=[CH:3][N:4]1CCCC1=O                  status ERROR
   26 : CC(C)[C:2](=O)[NH:3][NH:4][CH:1]=O                 status COMPLETE
   27 : CC(=O)[O:3][C:1]#[C:2][O:4]C(=O)C                  status ERROR
   28 : [H:1][C@:2]1([C@@H]2[C@@H]1CNC2)[O:3][H:4]         status COMPLETE
   29 : Cc1ccccc1[c:1]2[n-:2][n:3][n:4]n2                  status COMPLETE
   30 : [CH2:2]([CH2:3][Br:4])[c:1]1[nH]nnn1               status COMPLETE
   31 : C1[C@H:1](O1)[CH2:2][CH2:3][CH2:4]F                status COMPLETE
   32 : [C@:3]([C:2]([F:1])(F)Br)([F:4])(Cl)Br             status COMPLETE
   33 : CC[C@H:3]([CH2:2][Cl:1])[Cl:4]                     status COMPLETE
   34 : [H:4][CH:3](C[C@H]1CO1)[CH2:2][F:1]                status COMPLETE
   35 : C1[C@@H:3]([O:4]1)[CH2:2][CH2:1]CF                 status COMPLETE
   36 : [CH3:4][C:3]1([C@H]2[C@H:2]1[CH2:1]CC2)O           status ERROR
   37 : [H:4][CH:3](c1cs/c(=N/S(=O)(=O)C)/[nH]1)[C:2](=[O:1])OC status COMPLETE
   38 : [H:4][CH:3]([c:2]1[cH:1]nns1)NN                    status COMPLETE
   39 : CO[C:4](=O)[CH2:3][c:2]1[cH:1]s/c(=N/S(=O)(=O)C)/[nH]1 status COMPLETE
   40 : C1CC1[NH:4][C:1](=O)[CH2:2][N@:3]2C[C@H](CO2)O     status COMPLETE
   41 : [CH2:2]([CH2:1]Br)[c:3]1[nH:4]nnn1                 status COMPLETE
   42 : c1con[c:1]1[C:2]2(CC2)[C:3](=O)[OH:4]              status COMPLETE
   43 : C[C:2](=[CH2:1])[C:3]1(CC1)[CH2:4]ON               status COMPLETE
   44 : CC1(C[C@:2]1([C:3](=O)[NH2:4])[C:1](=O)O)C         status COMPLETE
   45 : [cH:1]1con[c:2]1[C:3]2(CC2)[C:4](=O)O              status COMPLETE
   46 : CC[C@@H]1C[C@@:3]1([c:2]2[cH:1]cc(nn2)OC)[NH2:4]   status COMPLETE
   47 : CC[C@H]1[CH2:4][C@:3]1([c:2]2[cH:1]cc(nn2)OC)N     status COMPLETE
   48 : COc1c[cH:1][c:2](cc1OC)[c:3]2[cH:4]cc3ccccc3[o+]2  status COMPLETE
   49 : C1=N[C@@H:1]([C:2](=N1)[C:3](=O)[NH2:4])[N+]#N     status COMPLETE
   50 : C[n+:3]1[cH:2][cH:1]c(c[cH:4]1)C(=O)N              status COMPLETE
   51 : C1CC1N[C:1](=O)[CH2:2][N@@:3]2C[C@H](C[O:4]2)O     status COMPLETE
   52 : [H:4][NH:3][C@:2]1(C[C@H]1CC)[c:1]2ccc(nn2)OC      status COMPLETE
   53 : C[C@@H:3]([c:4]1[nH][nH]c(=O)n1)[NH:2][C:1]#N      status COMPLETE
   54 : CN[C:1](=O)[NH:2][CH2:3][O:4]C                     status COMPLETE
   55 : C1[CH2:3][CH:4]1[NH:2][C:1](=O)C[N@]2C[C@H](CO2)O  status COMPLETE
   56 : [CH2:2]([C:1]#N)[N:3]=[N+:4]=[N-]                  status COMPLETE
   57 : [CH3:3][NH:2][C:1](=[O:4])S                        status RUNNING
   58 : [CH2:2](CBr)[c:1]1[nH:3][n:4]nn1                   status COMPLETE
   59 : Cn1ccc[c:1]1[C:2](=S)[N:3]=[P:4](N(C)C)(N(C)C)N(C)C status RUNNING
   60 : CCc1c[cH:1][c:2](cc1)[N:3]=[S:4]=O                 status COMPLETE
   61 : c1[cH:1][n:2][c:3](cc1Cl)[S@@:4](=O)O              status COMPLETE
   62 : COC(=O)Cc1cs/[c:2](=[N:3]\[S:4](=O)(=O)C)/[nH:1]1  status COMPLETE
   63 : c1cc[c:1](cc1)[CH2:2][N:3]=[N+:4]=[N-]             status COMPLETE
   64 : [CH3:1][CH2:2][O:3][P:4](=O)(N)OCC                 status RUNNING
   65 : CNC(=O)[NH:4][CH2:3][O:2][CH3:1]                   status RUNNING
   66 : c1cc(cc[c:1]1[O:2][CH:3]2C[CH2:4]2)I               status COMPLETE
   67 : [H:4][O:3][c:2]1[cH:1]nn(c1)S(=O)(=O)CC            status COMPLETE
   68 : [H:4][O:3][C:2](=O)[C:1]1(CC1)c2ccon2              status COMPLETE
   69 : [cH:1]1[cH:2][o:3][n:4]c1C2(CC2)C(=O)O             status COMPLETE
   70 : [CH3:3][S:2][C:1](=[S:4])NN                        status COMPLETE
   71 : [H:4][CH2:3][S:2][P@:1](=O)(NC(=O)C)OC             status COMPLETE
   72 : C[CH:2]([CH3:1])[S:3](=O)(=O)[Br:4]                status COMPLETE
   73 : c1cn[c:2]([cH:1]c1Cl)[S@@:3](=[O:4])O              status COMPLETE
   74 : CC(=O)c1c[cH:1][c:2](cc1)[S:3](=C)(=C)[CH3:4]      status COMPLETE
   75 : [CH2:2]([NH2:1])[P@H:4](=[O:3])O                   status COMPLETE
   76 : c1c[cH:1][c:2](cc1)[P:3](=O)([Cl:4])Cl             status COMPLETE
   77 : [CH3:1][O:2]/[N:3]=[N+:4](/C(Br)Br)\[O-]           status COMPLETE
   78 : C1CC1NC(=O)C[N@:2]2[CH2:1][C@@H]([CH2:4][O:3]2)O   status COMPLETE
   79 : c1[cH:1][o:2][n:4][c:3]1C2(CC2)C(=O)O              status COMPLETE
   80 : [H:1][NH:2][N:3]([H:4])Cc1cnns1                    status COMPLETE
   81 : C[C@H]([c:1]1[nH:2][nH:3][c:4](=O)n1)NC#N          status COMPLETE
   82 : [cH:1]1c([s:4][n:3][n:2]1)CNN                      status COMPLETE
   83 : C[O:4]/[N:3]=[N+:2](\C(Br)Br)/[O-:1]               status COMPLETE
   84 : CC(=O)N[P@@:3](=[O:4])(OC)[S:2][CH3:1]             status RUNNING
   85 : c1ccc(cc1)[S:4](=O)(=O)[N:3](F)[S:2](=[O:1])(=O)c2ccccc2 status COMPLETE
   86 : C[CH2:4][S:3](=O)(=O)[n:2]1[cH:1]c(cn1)O           status COMPLETE
   87 : COC(=O)Cc1cs/[c:1](=[N:2]\[S:3](=O)(=O)[CH3:4])/[nH]1 status COMPLETE
   88 : CC(=O)N[P@:3](=[O:4])([O:2][CH3:1])SC              status COMPLETE
   89 : C[CH2:1][O:2][P:3](=O)(N)[O:4]CC                   status COMPLETE
   90 : C[O:4][P:3](=O)([NH:2][C:1](=O)C(Cl)(Cl)Cl)OC      status COMPLETE
   91 : Cn1cccc1C(=S)[N:4]=[P:3]([N:2](C)[CH3:1])(N(C)C)N(C)C status COMPLETE
   92 : Cn1cccc1[C:1](=S)[N:2]=[P:3](N(C)C)(N(C)C)[N:4](C)C status RUNNING
   93 : C1=N[C@@H:2]([C:1](=N1)C(=O)N)[N+:3]#[N:4]         status ERROR
Downloaded torsion drive data for 83 completed entries

## Available torsion scans from QCArchive ##
------------------------------------------------------------------------------------------
idx     tid      Number of torsion scans
0       t1       1
1       t2       1
2       t3       1
3       t4       1
5       t6       1
6       t7       1
9       t10      1
10      t11      1
12      t13      1
16      t17      1
19      t19      1
22      t23      1
26      t27      1
27      t28      1
28      t29      1
31      t32      1
32      t33      1
34      t35      1
42      t43      1
43      t44      1
46      t47      1
48      t49      1
57      t52      1
58      t54      1
59      t55      1
63      t59      1
68      t64      1
69      t65      1
72      t68      1
74      t70      1
75      t71      1
76      t72      1
78      t74      1
79      t75      1
86      t82      1
88      t84      1
89      t85      1
93      t89      1
95      t91      1
97      t93      1
98      t94      1
100     t96      1
101     t97      1
102     t98      1
103     t99      1
105     t101     1
106     t102     1
110     t106     1
111     t107     1
112     t108     1
113     t109     1
116     t112     1
117     t113     1
119     t115     1
121     t117     1
123     t119     1
124     t120     1
125     t121     1
126     t122     1
130     t126     1
131     t127     1
132     t128a    1
135     t130     1
138     t134     1
139     t135     1
140     t136     1
146     t142     1
154     t150     1
155     t151     1
156     t152     1
157     t154     1
------------------------------------------------------------------------------------------

## Available torsion scans from QCArchive ##
------------------------------------------------------------------------------------------
idx     tid      Number of torsion scans
0       t1       3
1       t2       5
2       t3       2
3       t4       2
4       t5       3
5       t6       2
6       t7       2
7       t8       2
8       t9       1
9       t10      2
10      t11      3
11      t12      3
12      t13      4
13      t14      3
16      t17      4
17      t20      5
18      t18      1
19      t19      3
20      t21      2
21      t22      1
22      t23      1
23      t24      3
24      t25      3
25      t26      4
26      t27      5
27      t28      2
28      t29      2
30      t31      2
31      t32      2
32      t33      4
33      t34      4
34      t35      4
35      t36      5
36      t37      2
37      t38      4
38      t39      5
39      t40      4
40      t41      2
41      t42      4
42      t43      5
43      t44      4
44      t45      5
45      t46      1
46      t47      5
47      t48      2
48      t49      1
49      t50      3
50      t51      2
57      t52      2
58      t54      2
59      t55      1
60      t56      2
61      t57      1
63      t59      5
65      t61      2
66      t62      3
68      t64      3
69      t65      5
70      t66      3
71      t67      5
72      t68      4
73      t69      3
74      t70      3
75      t71      5
76      t72      4
77      t73      5
78      t74      5
79      t75      4
80      t76      5
81      t77      4
82      t78      3
85      t81      1
86      t82      1
87      t83      2
88      t84      5
89      t85      1
90      t86      3
91      t87      2
92      t88      5
93      t89      4
95      t91      2
96      t92      1
97      t93      5
98      t94      3
99      t95      5
100     t96      2
101     t97      5
102     t98      4
103     t99      1
104     t100     2
105     t101     3
106     t102     5
108     t104     2
109     t105     2
110     t106     5
111     t107     4
112     t108     5
114     t110     2
115     t111     4
116     t112     5
117     t113     2
119     t115     5
120     t116     1
121     t117     1
122     t118     4
123     t119     3
124     t120     2
125     t121     1
126     t122     2
127     t123     3
128     t124     2
129     t125     2
130     t126     4
131     t127     5
132     t128a    5
133     t128     5
134     t129     3
135     t130     4
137     t133     3
138     t134     3
139     t135     3
140     t136     1
141     t137     3
142     t138     1
143     t139     3
144     t140     3
145     t141     1
146     t142     3
147     t143     4
148     t144     4
149     t145     5
150     t146     1
151     t147     2
152     t148     1
153     t149     1
155     t151     3
156     t152     3
